FID,FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,x,y
290,228,ExactMatch,Approx,1101,Belmor Baptist Church,5895 Mooresville Rd.,Belle Mina,35615,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8793049675623,34.6567065277678
291,185,ExactMatch,Rooftop,63,Madison Mission 7th Day Adv. Church,183 Shelton Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7171756437516,34.6945217721468
292,191,ExactMatch,Rooftop,71,Madison City Hall,100 Hughes Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7430392914722,34.7006519923524
293,189,ExactMatch,Exact,69,Madison Public Library,142 Plaza Boulevard,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7425620718147,34.7086494040148
294,229,ExactMatch,Rooftop,1301,Lamb of God Lutheran Church,11716 County Line Rd.,Madison,35756,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7873050551513,34.7189549043048
295,205,ExactMatch,Rooftop,94,Movement Church,1469 Browns Ferry Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7812015339035,34.7270840262228
296,200,ExactMatch,Rooftop,88,Faith Lutheran Church,660 Gillespie Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7647907093067,34.7282246271273
297,202,ExactMatch,Rooftop,90,St. John's Catholic Church,1055 Hughes Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7393237823286,34.7326153490689
298,201,ExactMatch,Rooftop,89,Madison Baptist Church,840 Balch Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.769894771385,34.7386883390666
299,227,ExactMatch,Rooftop,1001,Round Island Baptist Church,14790 Brownsferry Rd.,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.041432628965,34.7465427895456
300,203,ExactMatch,Rooftop,91,Restoration Church,5810 Wall Triana Highway,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7507144665984,34.749804372132
301,226,ExactMatch,Rooftop,902,Riddles Hall,11281 Ripley Rd.,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1193974420814,34.7632587997559
302,196,ExactMatch,Rooftop,78,Monrovia Church of Christ,595 Nance Road,Madison,35757,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7313968424208,34.7717274474205
303,215,ExactMatch,Rooftop,203,Capshaw Baptist Church,14944 Dupree Worthey Rd.,Harvest,35749,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.793759530174,34.7720593149359
304,216,ExactMatch,Rooftop,204,Bethel Church of Christ,26772 Capshaw Road,Athens,35613,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8453571349213,34.7734287931021
305,208,KnownAlternateName,Exact,102,Lindsay Lane Baptist Church,1300 Lindsay Lane,Athens,35613,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9306049900639,34.788806552752
306,213,ExactMatch,Rooftop,201,Isom�s Chapel Methodist Church,16230 Mooresville Rd.,Athens,35613,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8764927048596,34.791540975535
307,230,ExactMatch,Approx,1401,First Baptist Church of Tanner,11590 US Hwy 31 S.,Tanner,35671,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9551049973708,34.7946065529316
308,190,ExactMatch,Rooftop,70,Pine Grove Missionary Baptist Church,759 Pine Grove Road,Harvest,35749,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7652637334489,34.7949398807944
309,210,ExactMatch,Rooftop,104,Friendship Methodist Church,16479 Lucas Ferry Rd.,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0017216207981,34.7978352216734
310,209,ExactMatch,Rooftop,103,Pincham � Lincoln Center,606 Trinity Circle,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9807178948468,34.7979992625717
311,211,DirectionPrefixRemoved,Exact,105,Athens Senior Center,912 West Pryor St.,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9789519448966,34.8071065545072
312,214,ExactMatch,Rooftop,202,Copeland Presbyterian Church,27085 Copeland Road,Athens,35613,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8410083874271,34.8354214559771
313,212,ExactMatch,Rooftop,106,Elkton Road Baptist Church,19470 Elkton Road,Athens,35614,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9473163979293,34.8403576626098
314,204,ExactMatch,Rooftop,93,Harvest Baptist Church,8999 Wall Triana Highway,Harvest,35749,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7486926822779,34.8536480835032
315,187,ExactMatch,Rooftop,65,Toney United Methodist Church,5465 Old Railroad Bed Road,Toney,35773,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7355319807565,34.8903760015631
316,218,ExactMatch,Rooftop,302,Mays Memorial MB Church,23636 Alabama Highway 251,Toney,35773,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8197223752019,34.8985470797667
317,207,ExactMatch,Exact,96,Madison Cross Roads Community Center,11329 Pulaski Pike,Toney,35773,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7140075061629,34.9156434976193
318,220,ExactMatch,Rooftop,401,Elkmont�Fire Department,19667 Sandlin Road,Elkmont,35620,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9680225889049,34.9241017288583
319,222,ExactMatch,Rooftop,602,West Limestone Fire Department,28500 AL Hwy 99,Elkmont,35620,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1184590318776,34.9285534835268
320,219,ExactMatch,Rooftop,303,Wooley Springs Baptist Church,28025 Bethel Rd.,Toney,35773,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8189518071274,34.9338063270045
321,198,ExactMatch,Rooftop,81,Bobo Volunteer Fire Department,7982 Old Railroad Bed Road,Ardmore,35739,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.725094972612,34.9697865682318
322,217,ExactMatch,Rooftop,301,Ardmore Senior Center,29920 Park Avenue,Ardmore,35739,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.838238926103,34.990981027879
323,223,ExactMatch,Rooftop,603,Lester Town Hall,30306 Lester Rd.,Lester,35647,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.153310115599,34.9910229747919
324,494,ExactMatch,Exact,70,Enterprise Fire Station,6162 Co Rd 24,Verbena,36091,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6151795461162,32.7355061350659
325,495,ExactMatch,Approx,90,Verbena Fire Station,3885 US Hwy 31,Verbena,36091,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4966047530115,32.7436061411511
326,503,ExactMatch,Exact,240,Senior Community Center,500 Enterprise Rd,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6308868654269,32.8299233946784
327,505,DirectionSuffixRemoved,Exact,260,Clanton Recreation Building,309 1st St North,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.623446063781,32.838741486837
328,506,ExactMatch,Exact,270,Chilton County Courthouse,500 2nd Ave North,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6290875554555,32.8402882269589
329,504,KnownAlternateName,Exact,250,Clanton Library,100 1st Ave,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6244942341935,32.8409850472775
330,500,ExactMatch,Approx,200,Thorsby Town Hall,21060 US Hwy 31,Thorsby,35171,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7117048224985,32.9114061690722
331,496,ExactMatch,Exact,120,Cane Creek - Gap of Mt. Fire Station,768 Co Rd 55,Clanton,35046,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6021047918477,32.9176186144645
332,501,ExactMatch,Exact,210,Collins Chapel Fire Station,13274 CO Rd 29,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6749282829851,32.9282041340186
333,497,ExactMatch,Exact,140,Union Grove Fire Station,10896 Co Rd 51,Jemison,35085,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6680693234661,32.9744384441235
334,1034,ExactMatch,Exact, ,County Line Vol Fire Dept,55 Lake Tate Rd,Sylacauga,35151,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2912831145947,33.1234017898957
335,308,ExactMatch,Rooftop,PRECINCT 37,Old Mill Square Park - Grand Hall,105 West College St,Columbiana,35051,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6086168674131,33.1782326996719
336,1028,ExactMatch,Exact, ,Lay Lake Vol Fire Dept,225 Heasletts Rd,Childersburg,35044,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4531570441249,33.1920856484547
337,300,ExactMatch,Rooftop,PRECINCT 27,Wilsonville United Methodist Church,111 School St,Wilsonville,35186,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4845705053974,33.236650986737
338,1029,KnownAlternateName,Exact, ,St Andrews Methodist Church,35924 US Hwy 280,Sylacauga,35150,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3308577918303,33.2369593125806
339,602,ExactMatch,Approx,"0108, 0111",Equality United Methodist Church and Fellowship Hall,281 AL Hwy 259,Equality,36026,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.101904642326,32.7660061603845
340,606,ExactMatch,Approx,"0710, 0712, 0721",Courthouse,9709 US Hwy 231,Rockford,35136,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2242046828826,32.8801061803953
341,603,ExactMatch,Exact,"0302, 0306",Kellyton Civic Complex Cafeteria,179 Church Street,Kellyton,35089,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.034560854211,32.980067148785
342,605,ExactMatch,Exact,"0603, 0614",Hanover Fire Dept,17294 US Hwy 231,Rockford,35136,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2017085624525,32.9949450158027
343,604,ExactMatch,Approx,"0401, 0404",Goodwater Community Center,22012 AL Hwy 9,Goodwater,35072,Coosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0662046442686,33.0006062120169
344,551,ExactMatch,Approx,1001,Hollins Community Center 1001,45 Graphite Rd,Hollins,35082,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1454046721591,33.1039062311662
345,548,ExactMatch,Approx,802,Coleta Fire Department 0802,15871 Co Rd 7,Talladega,35160,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0456046445539,33.1183062379457
346,536,ExactMatch,Approx,1401,Bluff Springs Fire Dept 1401,7637 Bluff Springs Rd,Ashland,36251,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8268045849486,33.1691062569134
347,1030,DirectionSuffixRemoved,Exact, ,J Craig Smith Comm Center,2 8th St W,Sylacauga,35150,Talladega,Alabama,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-86.2507047059645,33.1781062430626
348,301,ExactMatch,Exact,PRECINCT 28,Chelsea Community Center,11101 Chelsea Rd,Chelsea,35043,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6267048209181,33.3349062621822
349,121,WeakName,Exact, ,PREC 4005 � GARDENDALE FIRST BAPTIST CHURCH,316 MOUNTAIN CREST PKWY,GARDENDALE,35071,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6661048326888,33.3463750931113
350,281,ExactMatch,Rooftop,PRECINCT 6,New Life Church,11580 Hwy 280, Sterrett,35147,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5429353980883,33.3515268088758
351,284,KnownAlternateName,Exact,PRECINCT 10,County Services 280,19220 Hwy 280,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6577947312332,33.362986066938
352,282,ExactMatch,Rooftop,PRECINCT 8,North Shelby Baptist Church,4100 Belcher Dr, Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6677218147525,33.3761163493348
353,290,ExactMatch,Approx,PRECINCT 16,New Hope Cumberland Presbyterian Church, 5521 Double Oak Ln,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6290048250676,33.3997062757919
354,289,ExactMatch,Rooftop,PRECINCT 15,Meadow Brook Baptist Church,4984 Meadow Brook Rd,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6946306941197,33.4084611751397
355,283,ExactMatch,Rooftop,PRECINCT 9,Asbury United Methodist Church,6690 Cahaba Valley Rd,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6731234280923,33.4095674361933
356,286,ExactMatch,Rooftop,PRECINCT 12,Greystone Farms Clubhouse,1000 Farmhouse Road,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6334581975747,33.4227090704801
357,288,ExactMatch,Rooftop,PRECINCT 14,The Church at Brook Hills,3145 Brook Highland Pkwy,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.669156147956,33.4277597301845
358,287,ExactMatch,Rooftop,PRECINCT 13,Greystone Country Club Founders Clubhouse,4100 Greystone Dr,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6508913728887,33.4296708912849
359,285,ExactMatch,Exact,PRECINCT 11,Shoal Creek Town Hall,100 New Williamsburg Rd, Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6153048233122,33.4389062845918
360,277,ExactMatch,Rooftop,PRECINCT 2,Vandiver Sterrett Senior Center,12205 Hwy 43,Vandiver,35176,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5110140156402,33.47357807589
361,139,ExactMatch,Approx, ,PREC 5140 � THE CHURCH AT LIBERTY PARK,12001 LIBERTY PKWY,BIRMINGHAM,35242,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6865048454968,33.4761062897187
362,276,ExactMatch,Rooftop,PRECINCT 1,Dunnavant Community Center,11690 Hwy 41,Leeds,35094,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5439272261974,33.4961343793948
363,59,ExactMatch,Exact, ,PREC 4220 � IRONDALE SENIOR CITIZENS BUILDING,5313 BEACON DR,BIRMINGHAM,35210,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6983812017333,33.528735570351
364,130,ExactMatch,Exact, ,PREC 4190 � THE CHURCH AT GRANTS MILL,6001 OLD LEEDS RD,BIRMINGHAM,35210,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6708089544044,33.5374788532504
365,60,ExactMatch,Exact, ,PREC 4240 � IRONDALE CITY HALL,101 20TH ST S,BIRMINGHAM,35210,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7071048547271,33.538306302031
366,128,ExactMatch,Approx, ,PREC 4140 � LEEDS CIVIC CENTER,1000 PARK DR,LEEDS,35094,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5619048138281,33.5426063085071
367,65,KnownAlternateName,Exact, ,PREC 5090 � LEEDS FIRST UNITED METHODIST CHURCH FAMILY LIFE CENTER,7833 PARKWAY DR,LEEDS,35094,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5457264493738,33.545026559637
368,1032,ExactMatch,Approx, ,Bon Air City Hall,227 Front St,Bon Air,35032,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3354047345489,33.2638062581139
369,1031,ExactMatch,Approx, ,Limbaugh Community Center,300 1st St SE,Childersburg,35044,Talladega,Alabama,AE, ,-86.3490047392874,33.2803062611061
370,280,KnownAlternateName,Exact,PRECINCT 5,Harpersville Community Center,39321 Hwy 25,Harpersville,35078,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4390554981803,33.3429048009843
371,279,ExactMatch,Rooftop,PRECINCT 4,Vincent Revival Center,6121 Hwy 85,Vincent,35178,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4096269515209,33.3742967487477
372,278,ExactMatch,Rooftop,PRECINCT 3,Turner-Hollis American Legion Post #195,235 3rd Ave, Sterrett,35147,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4812441054669,33.4416337902756
373,1036,ExactMatch,Exact, ,Renfroe Vol Fire Dept,7191 Renfroe Road,Talladega,35160,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2641786246951,33.4571689818085
374,998,ExactMatch,Exact,12,NEW LONDON VFD,4060 LOGAN MARTIN DAM RD,CROPWELL,35054,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3435047484923,33.4805901037515
375,999,ExactMatch,Exact,13,WOLF CREEK VFD,4980 WOLF CREEK RD,PELL CITY,35128,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.373469539998,33.5358077242785
376,997,KnownAlternateName,Exact,11,CELEBRATIONS,3005 MARTIN STREET,CROPWELL,35054,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2821894245125,33.543931829476
377,1008,ExactMatch,Exact,29,CEDAR GROVE BAPTIST CHURCH,2001 CEDAR GROVE RD,LEEDS,35094,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5277887749979,33.5580223430636
378,132,ExactMatch,Approx, ,PREC 4230 � GUIDING LIGHT CHURCH,1800 JOHN ROGERS DR,BIRMINGHAM,35210,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.652604841173,33.5726063113445
379,77,ExactMatch,Exact, ,PREC 1110 � DON HAWKINS PARK & RECREATION CTR,8920 ROEBUCK BLVD,BIRMINGHAM,35206,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7113104382937,33.5816086109798
380,7,ExactMatch,Exact, ,PREC 1130 � MARTHA GASKINS ELEMENTARY SCHOOL,200 DALTON DR,BIRMINGHAM,35215,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7049883272281,33.5947865939944
381,0,ExactMatch,Exact, ,PREC 1010 � HUFFMAN BAPTIST CHURCH,700 HUFFMAN RD,Birmingham,35215,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6917048536654,33.5984063152672
382,72,ExactMatch,Approx, ,PREC 1020 � TOM BRADFORD PARK,EDWARDS LAKE RD,BIRMINGHAM,35235,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6820048515344,33.6096063179958
383,1,ExactMatch,Exact, ,PREC 1030 � L.M. SMITH MIDDLE SCHOOL,1124 FIVE MILE RD,BIRMINGHAM,35215,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6998101467144,33.6120957378328
384,123,ExactMatch,Exact, ,PREC 4040 � TRUSSVILLE CITY HALL,131 MAIN ST,TRUSSVILLE,35173,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6012752993328,33.6218468036797
385,78,KnownAlternateName,Exact, ,PREC 1125 � CENTER POINT SENIOR CENTER,335 POLLY REED RD,BIRMINGHAM,35215,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.676930101285,33.631174022725
386,74,ExactMatch,Exact, ,PREC 1060 � SUN VALLEY ELEMENTARY SCHOOL,1010 18TH AVE NW,BIRMINGHAM,35215,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7117387213966,33.6357480123427
387,52,ExactMatch,Approx, ,PREC 4020 � TRUSSVILLE FIRST BAPTIST CHURCH,128 CHALKVILLE RD N,TRUSSVILLE,35173,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6131048336527,33.6394063269168
388,126,ExactMatch,Exact, ,PREC 4100 � MOUNTAIN VIEW BAPTIST CHURCH,5568 CHALKVILLE RD,BIRMINGHAM,35235,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6376550813203,33.6522711386741
389,127,ExactMatch,Exact, ,PREC 4120 � LIFE CHURCH,5567 CHALKVILLE ROAD,BIRMINGHAM,35235,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6377271413467,33.652379218694
390,3,ExactMatch,Exact, ,PREC 1065/4060 � CENTER POINT COMMUNITY CTR,533 SUNHILL RD NW,CENTER POINT,35215,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.699499978864,33.6526587663674
391,122,WeakName,Exact, ,PREC 4025 � TRUSSVILLE CIVIC CENTER,5381 TRUSSVILLE CLAY,TRUSSVILLE,35173,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5950048296975,33.6607336020983
392,1005,ExactMatch,Approx,24,NORTH VALLEY CHURCH,900 WOODLAND CIR,ODENVILLE,35120,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4943048012986,33.6637063366047
393,125,ExactMatch,Exact, ,PREC 4080 � NORTH PARK BAPTIST CHURCH,5700 DEERFOOT PKWY,TRUSSVILLE,35173,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5791734654936,33.6658964037942
394,55,ExactMatch,Exact, ,PREC 4110 � ROCK SCHOOL CENTER,4509 CENTER POINT RD,PINSON,35126,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6825515961255,33.6899528248531
395,124,WeakName,Exact, ,PREC 4050 � CLAY COMMUNITY CENTER,6411 CLAY PALMERDALE,PINSON,35126,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6058582652492,33.7055063410855
396,57,KnownAlternateName,Exact, ,PREC 4150 � PALMERDALE UNITED METHODIST CHURCH,7776 HWY 75,PINSON,35126,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6520022698468,33.7328480950374
397,58,ExactMatch,Exact, ,PREC 4180 � BRADFORD SANCTUARY OF PRAISE,8294 BRADFORD RD,PINSON,35126,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7102171074097,33.7520063467954
398,391,KnownAlternateName,Exact,6,"DALLAS SELFVILLE, PRECINCT 1801",24555 STATE HWY 79,TRAFFORD,35172,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6652048595769,33.8402195870223
399,1002,ExactMatch,Exact,18,CROPWELL BAPTIST CHURCH,2700 HARDWICK RD,PELL CITY,35128,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.267944791123,33.5560441125785
400,1000,ExactMatch,Exact,14,PELL CITY COMMUNITY CENTER,405 19TH ST S,PELL CITY,35128,St Clair,Alabama,AE, ,-86.2843747972792,33.5833464477184
401,1004,ExactMatch,Exact,23,NEW HOPE BAPTIST CHURCH,75 COGSWELL AVE,PELL CITY,35125,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3161563065916,33.5885063275933
402,989,ExactMatch,Exact,3,ODENVILLE CIVIC CENTER,183 ALABAMA STREET,ODENVILLE,35120,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3964047744902,33.6815961741378
403,991,ExactMatch,Approx,5,FRIENDSHIP BAPTIST CHURCH,19436 US HIGHWAY 411,ASHVILLE,35953,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3411047617337,33.7352063575493
404,990,KnownAlternateName,Exact,4,SPRINGVILLE 1ST UNITED METHODIST CHURCH,6471 US HIGHWAY 11,SPRINGVILLE,35146,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4720746011412,33.7749790108497
405,1001,KnownAlternateName,Exact,17,PINEDALE VFD,88 SHORE DRIVE,ASHVILLE,35953,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3107952084282,33.831098768878
406,1033,ExactMatch,Approx, ,Sycamore Nutrition Center,650 Main Street,Sycamore,35149,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2033046963711,33.2511062603726
407,1026,ExactMatch,Approx, ,Winterboro Vol Fire Dept,1405 Bullocks Ferry Rd,Alpine,35014,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2132047039298,33.3402062789362
408,1027,KnownAlternateName,Exact, ,Berneys Station Vol Fire Dept,6256 Berneys Station Rd,Talladega,35160,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1288238104179,33.3490203239841
409,1023,ExactMatch,Exact, ,Kingston Baptist Church,333 Reynolds Mill Rd,Alpine,35014,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2302306800988,33.365094333577
410,1025,ExactMatch,Exact, ,Bethel Baptist Church,1054 Feddisburg Rd,Alpine,35014,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2627047216182,33.4078351214139
411,1022,ExactMatch,Exact, ,Spring St Comm Center,502 S. Spring Street,Talladega,35160,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1039097877157,33.4308637422986
412,1021,ExactMatch,Approx, ,Brecon Rec Center,1001 Horne Drive,Talladega,35160,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0762046713566,33.4592063093573
413,1024,ExactMatch,Exact, ,Talladega Co Central HS Gym,5104 Howell Cove Rd,Talladega,35160,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1623716773122,33.4859833617709
414,1035,ExactMatch,Exact, ,Stemley Vol Fire Dept,101 Rock Church Rd,Talladega,35160,Talladega,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2205789553661,33.5137885354474
415,550,ExactMatch,Exact,701,Hipine Fire Department,119 Fire Station Rd,Ashland,36251,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.9081604825253,33.2528861517818
416,532,KnownAlternateName,Exact,1601,Ashland National Guard Armory,81774 Hwy 9,Ashland,36251,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8448859347106,33.2568297949801
417,533,KnownAlternateName,Exact,1701,Ashland National Guard Armory 1701,81774 Hwy 9,Ashland,36251,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8448859347106,33.2568297949801
418,534,KnownAlternateName,Exact,1801,Ashland National Guard Armory 1801,81774 Hwy 9,Ashland,36251,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8448859347106,33.2568297949801
419,535,KnownAlternateName,Exact,2201,Ashland National Guard Armory 2201,81774 Hwy 9,Ashland,36251,Clay,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8448859347106,33.2568297949801
